emission_names,cluster,is_new_cluster,Longitude,Latitude,Height..m.,Diameter..m.,Exit.Temp....,Velocity..m.s.,MW,CO2_tpa,Hg_kgpa,NOx_tpa,PM_tpa,SOx_tpa,FGD
Jawa-72,jawa-72,FALSE,106.1008,-5.99169,200,9,75,20.5,1982,9511366.86630003,169.25811875649427,7626.903965577342,2269.0039297592593,16130.901887196078,TRUE
JawaT65,jawat65,FALSE,109.8037,-6.90083,260,8.5,120,20,1900,9117859.256291654,243.38326864581666,16706.459922580238,2175.129902392832,18641.959967659037,FALSE
Jenep73,jenep73,FALSE,119.55106666666666,-5.619796666666667,145,5.116666666666667,75,16.833333333333332,720,3818892.8519426547,101.93781224168279,7016.388865078506,1083.2763620129465,4143.415123176334,TRUE
Jeran74,jeran74,FALSE,116.073127146034,-8.65876156358167,135,4.7,75,17,75,503881.69574243366,17.77469232150899,449.76703111738357,202.0244491386532,92.93124660378047,TRUE
Kalba75,kalba75,FALSE,108.8461,0.816152,140,4.7,75,16.25,200,1060803.569984071,28.316058956023,710.2754317085281,425.3146297655856,195.6447296921694,TRUE
Kalse149,kalse149,TRUE,108.972598,1.034129,130,4.2,120,15,200,1060803.569984071,28.316058956023,1524.7529477096248,425.3146297655856,2339.2304637107213,FALSE
Kalse150,kalse150,TRUE,111.6430664,-2.8086279,130,4.2,120,15,200,1060803.569984071,28.316058956023,2339.2304637107213,425.3146297655856,2339.2304637107213,FALSE
Kalse40,kalse40,FALSE,115.4408,-2.16343,140,4.8,75,16.5,200,1060803.569984071,28.316058956023,710.2754317085281,425.3146297655856,195.6447296921694,TRUE
Kalse76,kalse76,FALSE,113.5672,-1.3708,140,4.7,75,16.5,200,1060803.569984071,28.316058956023,710.2754317085281,425.3146297655856,195.6447296921694,TRUE
Kalti77,kalti77,FALSE,117.188860219429,-0.778602635668899,130,4.5,75,16.5,55,369513.24354445125,12.329284003768347,247.41260871180387,148.15126270167895,68.14958084277232,TRUE
Kalti78,kalti78,FALSE,117.4946,0.055179,59.8,5.28,108.5,10.18,200,1060803.569984071,28.316058956023,1195.1341096412957,425.3146297655856,131.84753522733155,TRUE
Keban79,keban79,FALSE,103.6481,-3.75149,80,4.1,75,17,270,1432084.8194784953,47.78334948828881,2623.9786083387803,341.6339763592066,2049.8038581552396,TRUE
